text,labels
nūn man čiyōn-im kāmag tuxšišn ī pad ahlāyīh warzīdan ud pahrēz az wināh kardan ēdōn bē ān andar ǰast ēstēd az kunišn framāyišn ī āwām xwadāyān ud dušpādixšāyīh pad-iš ačārag hēm enyā az wināh-nigerišnīg pad kām čand-im dānišn pahrēxt ēstēd pad astīh yazadān ud nēstīh ī dēwān ud dēn ud ruwān ud wahišt ud dušox ud āmār ī stōš ud rist-āxēz ud tan ī pasēn abēgumān hēm u-m ahlāyīh ud xwārīh az tan ud gyān ruwān ud har nēkīh ī gētīg ud mēnōg kāmagtar u-m nām-iz gētīg rāy wāzag-ē čand abar ēn ayādgār nibišt kū,"B-ADV,B-PRONOUN,B-CONJ,I-CONJ,I-CONJ,B-N,B-N,B-JUNK,B-PRE,B-N,B-N,B-CONJ,B-N,B-PRE,B-N,B-N,B-ADV,B-PRE,B-PRONOUN,B-PRE,B-V,I-V,B-PRE,B-N,B-N,I-N,B-JUNK,B-N,B-N,B-CONJ,B-N,B-PRE,I-PRE,I-PRE,B-N,B-V,B-PRE,I-PRE,B-N,I-N,I-N,B-PRE,B-N,B-PRONOUN,I-PRONOUN,I-PRONOUN,B-N,B-V,I-V,B-PRE,B-N,B-N,B-CONJ,B-N,B-JUNK,B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-N,B-JUNK,B-N,B-CONJ,B-N,I-N,I-N,B-CONJ,B-N,B-JUNK,B-ADJ,B-ADJ,B-V,B-CONJ,I-CONJ,I-CONJ,B-N,B-CONJ,B-N,B-PRE,B-N,B-CONJ,B-N,B-N,B-CONJ,B-DET,B-N,B-JUNK,B-ADJ,B-CONJ,B-N,B-ADJ,B-CONJ,I-CONJ,I-CONJ,B-N,I-N,I-N,B-N,B-POST,B-N,I-N,I-N,B-DET,B-PRE,B-DET,B-N,B-V,B-CONJ"
mardōm kadār farroxtar,"B-N,B-DET,B-ADJ"
ān ī awināhtar,"B-PRONOUN,B-CONJ,B-ADJ"
kē awināhtar,"B-ADV,B-ADJ"
čē wehīh ud čē wattarīh,"B-ADV,B-N,B-CONJ,B-ADV,B-N"
wehīh humat ud hūxt ud huwaršt ud wattarīh dušmat ud dušhūxt ud dušxwaršt,"B-N,B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-N,B-N,B-CONJ,B-N,B-CONJ,B-N"
čē humat ud hūxt ud huwaršt ud čē dušmat ud dušhūxt ud dušxwaršt,"B-ADV,B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-ADV,B-N,B-CONJ,B-N,B-CONJ,B-N"
humat paymān-menišnīh ud hūxt rādīh huwaršt rāstīh,"B-N,B-N,I-N,I-N,B-CONJ,B-N,B-N,B-N,B-N"
dušmat freh-būd-menišnīh ud dušhūxt penīh ud dušxwaršt drōzanīh,"B-N,B-N,I-N,I-N,I-N,I-N,B-CONJ,B-N,B-N,B-CONJ,B-N,B-N"
čē paymān-mēnišnīh čē rādīh ud čē rāstīh čē freh-būd-menišnīh čē penīh čē drōzanīh,"B-ADV,B-N,I-N,I-N,B-ADV,B-N,B-CONJ,B-ADV,B-N,B-ADV,B-N,I-N,I-N,I-N,I-N,B-ADV,B-N,B-ADV,B-N"
paymān-mēnišnīh ēd kē frasāwandīh ī xīr ī gētīg wēnēd kāmag abar ān tis barēd kē rāy tan ō puhl ud ruwān ō dušox nē rasēd,"B-N,I-N,I-N,B-PRONOUN,B-CONJ,B-N,B-JUNK,B-N,B-JUNK,B-N,B-V,B-N,B-PRE,B-DET,B-N,B-V,B-CONJ,B-POST,B-N,B-PRE,B-N,B-CONJ,B-N,B-PRE,B-N,B-ADV,B-V"
rādīh ēd kē bahr tan az tan bahr ī ruwān az ruwān abāz nē gīrēd,"B-N,B-PRONOUN,B-CONJ,B-N,B-N,B-PRE,B-N,B-N,B-JUNK,B-N,B-PRE,B-N,B-ADV,B-ADV,B-V"
rāstīh ēd kē ō ruwān ī xwēš rāst ud afrēftāragīhā rawēd,"B-N,B-PRONOUN,B-CONJ,B-PRE,B-N,B-JUNK,B-PRONOUN,B-ADV,B-CONJ,B-ADV,B-V"
freh-būd-menišnīh ēd kē gētīg pad mehmānīh ud mēnōg pad mustgar dārēd ud kāmag abar ān tis barēd kē frazām wišōbišn ī tan puhl ud pādifrāh ī ruwān az-iš bēd,"B-N,I-N,I-N,I-N,I-N,B-PRONOUN,B-CONJ,B-N,B-PRE,B-N,B-CONJ,B-N,B-PRE,B-N,B-V,B-CONJ,B-N,B-PRE,B-DET,B-N,B-V,B-CONJ,B-ADV,B-N,B-JUNK,B-N,B-N,B-CONJ,B-N,B-JUNK,B-N,B-PRE,I-PRE,I-PRE,B-V"
penīh ēd kē-š bahr ī tan az tan bahr ī ruwān az ruwān abaz dārēd,"B-N,B-PRONOUN,B-CONJ,I-CONJ,I-CONJ,B-N,B-JUNK,B-N,B-PRE,B-N,B-N,B-JUNK,B-N,B-PRE,B-N,B-ADV,I-ADV,B-V"
drōzanīh ēd kē tan pad kāmag ruwān pad frēb dārēd,"B-N,B-PRONOUN,B-CONJ,B-N,B-PRE,B-N,B-N,B-PRE,B-N,B-V"
pad wehīh kē bowandagtar,"B-PRE,B-N,B-ADV,B-ADJ"
ān ī dānāgtar,"B-PRONOUN,B-CONJ,B-ADJ"
ān kē frazām ī tan dānēd hamēmāl ruwān šnāsēd xwēš-tan az hamēmal ī ruwān pādan ud abēbīm dāštan abērtar dānēd,"B-PRONOUN,B-CONJ,B-N,B-JUNK,B-N,B-V,B-N,B-N,B-V,B-PRONOUN,I-PRONOUN,I-PRONOUN,B-PRE,B-N,B-JUNK,B-N,B-N,B-CONJ,B-N,B-N,B-ADJ,B-V"
čē frazām ī tan kadām ān hamēmāl kē dānāgān pad-iš abērtar tuwān šnāxtan,"B-ADV,B-N,B-JUNK,B-N,B-ADV,B-DET,B-N,B-CONJ,B-N,B-PRE,I-PRE,I-PRE,B-ADJ,B-V,B-V"
kadār ud čand ān druz,"B-ADV,B-CONJ,B-ADV,B-DET,B-N"
āz ud niyāz ud xēšm ud arešk ud nang ud waran ud kēn ud būšāsp ud druz ahlomōγīh ud spazgīh,"B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-N,B-N,B-CONJ,B-N"
az ēn and druz kadār stahmagtar,"B-PRE,B-DET,B-DET,B-N,B-ADV,B-ADJ"
āz ahunsandtar ačāragtar,"B-N,B-ADJ,B-ADJ"
niyāz bēšēnīdārtar ud bēšōmandtar,"B-N,B-ADJ,B-CONJ,B-ADJ"
ud xēšm dušpādixšātar ud anespāstar,"B-CONJ,B-N,B-ADJ,B-CONJ,B-ADJ"
arešk anāg-kāmagtar ud wad-ummēdtar,"B-N,B-ADJ,I-ADJ,I-ADJ,B-CONJ,B-ADJ,I-ADJ,I-ADJ"
ud nang kōxšīdārtar,"B-CONJ,B-N,B-ADJ"
ud waran xwad-dōšagtar ud wišuftārtar,"B-CONJ,B-N,B-ADJ,I-ADJ,I-ADJ,B-CONJ,B-ADJ"
ud kēn sahmgēntar ud anabaxšāyišnīgtar,"B-CONJ,B-N,B-ADJ,I-ADJ,B-CONJ,B-ADJ,I-ADJ"
būšāsp aǰgahāntar ud frāmōšēntar,"B-N,B-ADJ,B-CONJ,B-ADJ"
ud spazgīh anespāstar,"B-CONJ,B-N,B-ADJ"
ēn-iz paydāg kū gannāg-mēnōg pad dāmān ī ohrmazd tis-ē-z ēn garāntar kard ka-š kirbag mizd ud wināh pādifrāh pad menišn ī mardōmān pad frazām kār be nihuft,"B-PRONOUN,I-PRONOUN,I-PRONOUN,B-ADJ,B-CONJ,B-N,I-N,I-N,B-PRE,B-N,B-JUNK,B-N,B-N,I-N,I-N,I-N,I-N,B-DET,B-ADV,B-V,B-CONJ,I-CONJ,I-CONJ,B-N,B-N,B-CONJ,B-N,B-N,B-PRE,B-N,B-JUNK,B-N,B-PRE,B-N,B-N,B-PRE,B-V"
dādār ohrmazd pad abāz dāštan ī ān and druz ud ayārīh ī mardōm rāy čand tis ī nīgāhdār ī mēnōg dād āsn xrad ud gōšōsrūd xrad ud xēm ud ummēd ud hunsandīh ud dēn ud ham-pursagīh dānāg,"B-ADJ,B-N,B-PRE,B-ADV,B-N,B-JUNK,B-DET,B-DET,B-N,B-CONJ,B-N,B-JUNK,B-N,B-POST,B-DET,B-N,B-CONJ,B-N,B-JUNK,B-N,B-V,B-ADJ,B-N,B-CONJ,B-ADJ,B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-N,I-N,I-N,B-N"
xwēš-kārīh ī ēn ēk-ēk mēnōg čē,"B-N,I-N,I-N,B-JUNK,B-DET,B-ADV,I-ADV,I-ADV,B-N,B-ADV"
xwēš-kārīh ī ummēd bahr ī kunišn ō tan paywastan tan ō ranǰ ud kār ī frārōn rāyēnīdan,"B-N,I-N,I-N,B-JUNK,B-N,B-N,B-JUNK,B-N,B-PRE,B-N,B-V,B-N,B-PRE,B-N,B-CONJ,B-N,B-JUNK,B-ADJ,B-V"
xwēš-kārīh ī hunsandīh tan az freh-būd-xwāhišnīh pādan ud ranǰ az ahunsandīh ud bīm az freh-būdīh pad daxšag dāštan ud ān tis ī rāy abdom abestān awiš bawēd pad tis-iz tis rāy nē dādan tis ī uzīd ēstēd rāy ud ak ī ān ī ǰuttar kardan nē šāyēd rāy ranǰ ud bēš nē burdan,"B-N,I-N,I-N,B-JUNK,B-N,B-N,B-PRE,B-N,I-N,I-N,I-N,I-N,B-V,B-CONJ,B-N,B-PRE,B-N,B-CONJ,B-N,B-PRE,B-N,I-N,I-N,B-PRE,B-N,B-V,B-CONJ,B-DET,B-N,B-CONJ,B-POST,B-ADJ,B-N,B-PRE,B-V,B-PRE,B-PRONOUN,I-PRONOUN,I-PRONOUN,I-PRONOUN,B-POST,B-ADV,B-V,B-PRONOUN,B-CONJ,B-V,I-V,B-POST,B-CONJ,B-N,B-CONJ,B-PRONOUN,B-CONJ,B-ADJ,B-V,B-ADV,B-V,B-POST,B-N,B-CONJ,B-N,B-ADV,B-V"
xwēš-kārīh ī dēn tan az wināh puhl ud kirbag mizd āgāhēnīdan ud pand ud ristag ī yazadān az ān ī dēwān ǰudāg dāštan,"B-N,I-N,I-N,B-JUNK,B-N,B-N,B-PRE,B-N,B-N,B-CONJ,B-N,B-N,B-V,B-CONJ,B-N,B-CONJ,B-N,B-JUNK,B-N,B-PRE,B-JUNK,I-JUNK,B-N,B-ADJ,B-V"
az ēn and mēnōg pad tan ī mardōmān kē ōzōmandtar,"B-PRE,B-DET,B-DET,B-N,B-PRE,B-N,B-JUNK,B-N,B-ADV,B-ADJ"
xrad wēnāgtar ud menišn ayāftagtar ud ōš dāštārtar,"B-N,B-ADJ,B-CONJ,B-N,B-ADJ,B-CONJ,B-N,B-ADJ"
ud xēm huškōhtar ud xōg wirāstārtar,"B-CONJ,B-N,B-ADJ,B-CONJ,B-N,B-ADJ"
ud hunsandīh awestwārtar,"B-CONJ,B-N,B-ADJ"
ud ummēd bārestāntar axw abēzagtar ud bōy āgāhtar ud frawahr ranǰwartar,"B-CONJ,B-N,B-ADJ,B-N,B-ADJ,B-CONJ,B-N,B-ADJ,B-CONJ,B-N,B-ADJ"
pad mardōmān hunar ī čē weh,"B-PRE,B-N,B-N,B-JUNK,B-DET,B-ADJ"
dānāgīh ud xrad,"B-N,B-CONJ,B-N"
ēd kadār weh,"B-PRONOUN,B-ADV,B-ADJ"
ān kē tan abēbīmīhātar ud awināhtar ud aranǰagīhātar dānēd rāyēnīdan,"B-PRONOUN,B-CONJ,B-N,B-ADV,B-CONJ,B-ADV,B-CONJ,B-ADV,I-ADV,I-ADV,I-ADV,B-V,B-V"
pad mardōmān xrad weh ayāb ǰahišn,"B-PRE,B-N,B-N,B-ADJ,B-CONJ,B-N"
xrad šnāxtārīh ī kār ud ǰahišn passandišn ī kār,"B-N,B-N,B-JUNK,B-N,B-CONJ,B-N,B-N,B-JUNK,B-N"
gōhr kadār weh,"B-N,B-DET,B-ADJ"
ēr-menišnīh ud čarb-ēwāzīh,"B-N,I-N,I-N,B-CONJ,B-N,I-N,I-N"
xōg ī čē weh,"B-N,B-JUNK,B-DET,B-ADJ"
weh-axwīh ud āštīh-xwāhīh,"B-N,I-N,I-N,B-CONJ,B-N,I-N,I-N"
dād ī čē weh,"B-N,B-JUNK,B-DET,B-ADJ"
wehīh,B-N
kāmag ī kadār frārōntar,"B-N,B-JUNK,B-DET,B-ADJ"
awināhīh,B-N
kirbag ī kadār weh,"B-N,B-JUNK,B-DET,B-ADJ"
hunsand-xīrīh,"B-N,I-N,I-N"
kardār čē weh,"B-N,B-DET,B-ADJ"
dēn-ōšmārišnīh,"B-N,I-N,I-N"
frahang kadār weh,"B-N,B-DET,B-ADJ"
ān kē āwām pad-iš rāyēnīdan ud ruwān pad-iš bōxtan abērtar dānēd,"B-PRONOUN,B-CONJ,B-N,B-PRE,I-PRE,I-PRE,B-V,B-CONJ,B-N,B-PRE,I-PRE,I-PRE,B-V,B-ADV,B-V"
āzarm kadār weh,"B-N,B-DET,B-ADJ"
weh-dōstīh ud huškōhīh,"B-N,I-N,I-N,B-CONJ,B-N"
nām čē meh,"B-N,B-DET,B-ADJ"
xwēš-kārīh,"B-N,I-N,I-N"
hamēmāl kadām stambagtar,"B-N,B-DET,B-ADJ"
kunišn wad,"B-N,B-ADJ"
pad mardōmān frahang weh ayāb gōhr ī xrad,"B-PRE,B-N,B-N,B-ADJ,B-CONJ,B-N,B-JUNK,B-N"
xēm ud xōg ud xrad ud abārīg-iz hamāg hunar andar tan ī mardōmān čiyōn kam-petyāragtar ud abēzyāntar,"B-N,B-CONJ,B-N,B-CONJ,B-N,B-CONJ,B-DET,I-DET,I-DET,B-DET,B-N,B-PRE,B-N,B-JUNK,B-N,B-ADV,B-ADJ,I-ADJ,I-ADJ,B-CONJ,B-ADJ"
xrad ka-š menīdārīh nēst,"B-N,B-CONJ,I-CONJ,I-CONJ,B-N,B-V"
ud hunar ka-š tar-menišnīh nēst,"B-CONJ,B-N,B-CONJ,I-CONJ,I-CONJ,B-N,I-N,I-N,B-V"
wīrōmandīh ka-š ahlomōγīh nēst,"B-N,B-CONJ,I-CONJ,I-CONJ,B-N,B-V"
weh-axwīh ka-š kēnwarīh nēst,"B-N,I-N,I-N,B-CONJ,I-CONJ,I-CONJ,B-N,B-V"
hunsandīh ka-š xwurdag-nigerišnīh nēst,"B-N,B-CONJ,I-CONJ,I-CONJ,B-N,I-N,I-N,B-V"
weh-xēmīh ka-š penīh nēst,"B-N,I-N,I-N,B-CONJ,I-CONJ,I-CONJ,B-N,B-V"
nēk husāzagīh ka-š wišuftārīh nēst,"B-ADJ,B-N,B-CONJ,I-CONJ,I-CONJ,B-N,B-V"
rāstīh ka-š dušbarišnīh nēst,"B-N,B-CONJ,I-CONJ,I-CONJ,B-N,B-V"
ummēd ka-š aǰgahānīh nēst,"B-N,B-CONJ,I-CONJ,I-CONJ,B-N,B-V"
rādīh ka-š wanīgarīh nēst,"B-N,B-CONJ,I-CONJ,I-CONJ,B-N,B-V"
huškōhīh ka-š ahunsandīh nēst,"B-N,B-CONJ,I-CONJ,I-CONJ,B-N,B-V"
tan pānagīh ka-š bēšōmandīh nēst,"B-N,B-N,B-CONJ,I-CONJ,I-CONJ,B-N,I-N,B-V"
ēr-menišnīh ka-š frēftārīh nēst,"B-N,I-N,I-N,B-CONJ,I-CONJ,I-CONJ,B-N,B-V"
tars-āgāhīh ka-š wastārīh nēst,"B-N,I-N,I-N,B-CONJ,I-CONJ,I-CONJ,B-N,B-V"
weh-dōstīh ka-š ǰahīg-kārīh nēst,"B-N,I-N,I-N,B-CONJ,I-CONJ,I-CONJ,B-N,I-N,I-N,B-V"
ēkānagīh ka-š abāzīh nēst,"B-N,B-CONJ,I-CONJ,I-CONJ,B-N,I-N,B-V"
xwēš-kārīh ka-š sustīh nēst,"B-N,I-N,I-N,B-CONJ,I-CONJ,I-CONJ,B-N,B-V"
tuxšāgīh ka-š areškēnīh nēst,"B-N,B-CONJ,I-CONJ,I-CONJ,B-N,B-V"
dānāgīh ka-š pačībāgīh nēst,"B-N,B-CONJ,I-CONJ,I-CONJ,B-N,B-V"
tis ī ō mardōmān rasēd pad baxt bawēd ayāb pad kunišn,"B-N,B-CONJ,B-PRE,B-N,B-V,B-PRE,B-N,B-V,B-CONJ,B-PRE,B-N"
baxt ud kunišn āgenēn ōwōn homānāg hēnd čiyōn tan ud gyān,"B-N,B-CONJ,B-N,B-ADV,B-ADV,B-ADV,B-V,B-ADV,B-N,B-CONJ,B-N"
čē baxt ud čē kunišn,"B-ADV,B-N,B-CONJ,B-ADV,B-N"
baxt-iz čim kunišn wihānag tis ī ō mardōmān rasēd,"B-N,I-N,I-N,B-N,B-N,B-N,B-N,B-CONJ,B-PRE,B-N,B-V"
xīr ī gētīg ō čē homānāg,"B-N,B-JUNK,B-N,B-PRE,B-ADV,B-ADV"
ō tis ī pad būšāsp wēnēnd ka nēk ka-z wad ud ka az būšāsp be bawēnd tis-iz tis ānōh nēst,"B-PRE,B-N,B-CONJ,B-PRE,B-N,B-V,B-ADV,B-ADJ,B-ADV,I-ADV,I-ADV,B-ADJ,B-CONJ,B-CONJ,B-PRE,B-N,B-PRE,B-V,B-PRONOUN,I-PRONOUN,I-PRONOUN,I-PRONOUN,B-ADV,B-V"
andar gētīg kē burzišnīgtar,"B-PRE,B-N,B-ADV,B-ADJ"
škōh ī dušpadēx ī druwand,"B-N,B-JUNK,B-ADJ,B-JUNK,B-ADJ"
kē dušfarroxtar,"B-ADV,B-ADJ"
dēn-āgāh ī druwand,"B-N,I-N,I-N,B-JUNK,B-ADJ"
kē abēniyāztar,"B-ADV,B-ADJ,I-ADJ,I-ADJ,I-ADJ"
ān ī hunsandtar,"B-PRONOUN,B-CONJ,B-ADJ"
kē hunsand-xīrtar,"B-ADV,B-ADJ,I-ADJ,I-ADJ"
ān ī huškōhtar,"B-PRONOUN,B-CONJ,B-ADJ"
kē huškōhtar,"B-ADV,B-ADJ"
ān kē āwēnišn ī mardōmān wattar sahēd kū niyāzōmandīh,"B-PRONOUN,B-CONJ,B-N,B-JUNK,B-N,B-ADJ,B-V,B-PRE,B-N"
kē ummēdwārtar,"B-ADV,B-ADJ"
tuxšāg-mard ī ǰahišn-ayār,"B-N,I-N,I-N,B-JUNK,B-ADJ,I-ADJ,I-ADJ"
čē tuxšāgīh ud čē ǰahišn-ayārīh,"B-ADV,B-N,B-CONJ,B-ADV,B-N,I-N,I-N"
ǰahišn-ayārīh nām ī nēk hufrazāmīh kār,"B-N,I-N,I-N,B-N,B-JUNK,B-ADJ,B-N,B-N"
kē pādixšāytar,"B-ADV,B-ADJ"
spihr ī gēhān-baxtār,"B-N,B-JUNK,B-ADJ,I-ADJ,I-ADJ"
kē rāsttar,"B-ADV,B-ADJ"
zamān ī brīn,"B-N,B-JUNK,B-ADJ"
kē abdtar,"B-ADV,B-ADJ"
ān kē zamān abērtar mad ēstēd,"B-PRONOUN,B-CONJ,B-N,B-ADJ,B-V,I-V"
kē wizīdārtar,"B-ADV,B-ADJ"
dānāg ī was-uzmāyišn,"B-N,B-JUNK,B-ADJ,I-ADJ,I-ADJ"
kē pad-rāmišntar,"B-ADV,B-ADJ,I-ADJ,I-ADJ"
kē passandišnīgtar,"B-ADV,B-ADJ"
